CDTJune/30/2021 17:00:10:8,location:29.585571 -98.619584
 CDTJune/30/2021 17:00:11:64,xyz_acc:0.001 0.098 -1.009
 CDTJune/30/2021 17:00:11:67,resultant_acc:1.014
 CDTJune/30/2021 17:00:11:69,xyz_acc:0.001 0.098 -1.009
 CDTJune/30/2021 17:00:11:139,resultant_acc:1.014
 CDTJune/30/2021 17:00:11:141,sleep:33704.0
 CDTJune/30/2021 17:00:11:143,xyz_acc:0.0 0.11 -0.991
 CDTJune/30/2021 17:00:11:161,resultant_acc:0.997
 CDTJune/30/2021 17:00:11:192,xyz_acc:-0.014 0.111 -0.998
 CDTJune/30/2021 17:00:11:195,resultant_acc:1.004
 CDTJune/30/2021 17:00:11:447,xyz_acc:-0.015 0.111 -0.996
 CDTJune/30/2021 17:00:11:514,resultant_acc:1.002
 CDTJune/30/2021 17:00:11:543,xyz_acc:-0.015 0.109 -0.993
 CDTJune/30/2021 17:00:11:545,resultant_acc:0.999
 CDTJune/30/2021 17:00:11:551,xyz_acc:-0.01 0.109 -0.999
 CDTJune/30/2021 17:00:11:630,resultant_acc:1.005
 CDTJune/30/2021 17:00:11:631,xyz_acc:-0.011 0.095 -0.996
 CDTJune/30/2021 17:00:11:632,resultant_acc:1.001
 CDTJune/30/2021 17:00:11:646,xyz_acc:-0.01 0.111 -1.001
 CDTJune/30/2021 17:00:11:648,resultant_acc:1.007
 CDTJune/30/2021 17:00:11:692,xyz_acc:-0.015 0.106 -0.993
 CDTJune/30/2021 17:00:11:706,resultant_acc:0.999
 CDTJune/30/2021 17:00:11:781,xyz_acc:-0.015 0.114 -0.997
 CDTJune/30/2021 17:00:11:800,resultant_acc:1.004
 CDTJune/30/2021 17:00:11:889,xyz_acc:-0.024 0.113 -0.998
 CDTJune/30/2021 17:00:11:902,resultant_acc:1.005
 CDTJune/30/2021 17:00:11:954,xyz_acc:-0.005 0.108 -1.001
 CDTJune/30/2021 17:00:11:971,resultant_acc:1.007
 CDTJune/30/2021 17:00:12:83,xyz_acc:-0.01 0.113 -0.994
 CDTJune/30/2021 17:00:12:104,resultant_acc:1.0
 CDTJune/30/2021 17:00:12:185,xyz_acc:-0.006 0.117 -0.994
 CDTJune/30/2021 17:00:12:205,resultant_acc:1.001
 CDTJune/30/2021 17:00:12:276,xyz_acc:-0.003 0.114 -0.995
 CDTJune/30/2021 17:00:12:296,resultant_acc:1.002
 CDTJune/30/2021 17:00:12:372,xyz_acc:-0.002 0.115 -0.995
 CDTJune/30/2021 17:00:12:394,resultant_acc:1.002
 CDTJune/30/2021 17:00:12:485,xyz_acc:-0.029 0.079 -0.981
 CDTJune/30/2021 17:00:12:498,resultant_acc:0.985
 CDTJune/30/2021 17:00:12:556,xyz_acc:-0.009 0.117 -1.008
 CDTJune/30/2021 17:00:12:578,resultant_acc:1.015
 CDTJune/30/2021 17:00:12:666,xyz_acc:-0.017 0.108 -0.987
 CDTJune/30/2021 17:00:12:687,resultant_acc:0.993
 CDTJune/30/2021 17:00:12:763,xyz_acc:-0.011 0.123 -0.997
 CDTJune/30/2021 17:00:12:787,resultant_acc:1.005
 CDTJune/30/2021 17:00:12:877,xyz_acc:-0.01 0.118 -0.996
 CDTJune/30/2021 17:00:12:897,resultant_acc:1.003
 CDTJune/30/2021 17:00:12:971,xyz_acc:-0.006 0.118 -1.004
 CDTJune/30/2021 17:00:12:979,resultant_acc:1.011
 CDTJune/30/2021 17:00:13:88,xyz_acc:-0.011 0.111 -0.998
 CDTJune/30/2021 17:00:13:99,resultant_acc:1.004
 CDTJune/30/2021 17:00:13:178,xyz_acc:-0.004 0.117 -0.995
 CDTJune/30/2021 17:00:13:188,resultant_acc:1.002
 CDTJune/30/2021 17:00:13:265,xyz_acc:-0.005 0.12 -0.996
 CDTJune/30/2021 17:00:13:285,resultant_acc:1.003
 CDTJune/30/2021 17:00:13:389,xyz_acc:-0.005 0.113 -0.99
 CDTJune/30/2021 17:00:13:399,resultant_acc:0.996
 CDTJune/30/2021 17:00:13:477,xyz_acc:-0.003 0.12 -0.998
 CDTJune/30/2021 17:00:13:496,resultant_acc:1.005
 CDTJune/30/2021 17:00:13:567,xyz_acc:-0.003 0.118 -1.004
 CDTJune/30/2021 17:00:13:588,resultant_acc:1.011
 CDTJune/30/2021 17:00:13:689,xyz_acc:-0.008 0.114 -0.995
 CDTJune/30/2021 17:00:13:712,resultant_acc:1.002
 CDTJune/30/2021 17:00:13:760,xyz_acc:-0.019 0.114 -0.993
 CDTJune/30/2021 17:00:13:775,resultant_acc:1.0
 CDTJune/30/2021 17:00:13:866,xyz_acc:-0.003 0.121 -1.002
 CDTJune/30/2021 17:00:13:883,resultant_acc:1.009
 CDTJune/30/2021 17:00:13:991,xyz_acc:-0.011 0.125 -0.998
 CDTJune/30/2021 17:00:13:5,resultant_acc:1.006
 CDTJune/30/2021 17:00:14:80,xyz_acc:-0.0 0.115 -0.999
 CDTJune/30/2021 17:00:14:124,resultant_acc:1.006
 CDTJune/30/2021 17:00:14:172,xyz_acc:-0.007 0.106 -0.991
 CDTJune/30/2021 17:00:14:186,resultant_acc:0.997
 CDTJune/30/2021 17:00:14:287,xyz_acc:0.013 0.115 -0.999
 CDTJune/30/2021 17:00:14:298,resultant_acc:1.006
 CDTJune/30/2021 17:00:14:376,xyz_acc:-0.0 0.12 -0.994
 CDTJune/30/2021 17:00:14:396,resultant_acc:1.001
 CDTJune/30/2021 17:00:14:468,xyz_acc:0.0 0.128 -1.002
 CDTJune/30/2021 17:00:14:484,resultant_acc:1.01
 CDTJune/30/2021 17:00:14:599,xyz_acc:-0.003 0.116 -0.996
 CDTJune/30/2021 17:00:14:614,resultant_acc:1.003
 CDTJune/30/2021 17:00:14:683,xyz_acc:-0.004 0.117 -1.005
 CDTJune/30/2021 17:00:14:696,resultant_acc:1.012
 CDTJune/30/2021 17:00:14:770,xyz_acc:-0.009 0.116 -0.992
 CDTJune/30/2021 17:00:14:785,resultant_acc:0.999
 CDTJune/30/2021 17:00:14:887,xyz_acc:0.001 0.169 -1.004
 CDTJune/30/2021 17:00:14:906,resultant_acc:1.018
 CDTJune/30/2021 17:00:14:974,xyz_acc:-0.009 0.114 -1.007
 CDTJune/30/2021 17:00:14:995,resultant_acc:1.013
 CDTJune/30/2021 17:00:15:67,xyz_acc:-0.005 0.12 -0.998
 CDTJune/30/2021 17:00:15:90,resultant_acc:1.005
 CDTJune/30/2021 17:00:15:188,xyz_acc:-0.013 0.124 -0.997
 CDTJune/30/2021 17:00:15:202,resultant_acc:1.005
 CDTJune/30/2021 17:00:15:276,xyz_acc:-0.008 0.12 -0.999
 CDTJune/30/2021 17:00:15:298,resultant_acc:1.006
 CDTJune/30/2021 17:00:15:405,xyz_acc:-0.008 0.113 -0.998
 CDTJune/30/2021 17:00:15:417,resultant_acc:1.004
 CDTJune/30/2021 17:01:04:86,xyz_acc:0.112 0.12 -0.969
 CDTJune/30/2021 17:01:04:91,resultant_acc:0.983
 CDTJune/30/2021 17:01:04:141,xyz_acc:0.112 0.135 -1.001
 CDTJune/30/2021 17:01:04:170,resultant_acc:1.016
 CDTJune/30/2021 17:01:04:270,xyz_acc:0.115 0.141 -0.996
 CDTJune/30/2021 17:01:04:272,resultant_acc:1.012
