CDTJune/24/2021 12:37:19:199,xyz_acc:-0.031 0.016 -1.001
 CDTJune/24/2021 12:37:19:246,resultant_acc:1.002
 CDTJune/24/2021 12:37:19:247,sleep:0.0
 CDTJune/24/2021 12:37:19:254,xyz_acc:-0.014 0.009 -1.001
 CDTJune/24/2021 12:37:19:256,resultant_acc:1.001
 CDTJune/24/2021 12:37:19:257,xyz_acc:-0.021 -0.023 -1.002
 CDTJune/24/2021 12:37:19:258,resultant_acc:1.002
 CDTJune/24/2021 12:37:19:398,xyz_acc:-0.019 -0.009 -0.998
 CDTJune/24/2021 12:37:19:400,resultant_acc:0.998
 CDTJune/24/2021 12:37:19:474,xyz_acc:0.004 -0.038 -0.999
 CDTJune/24/2021 12:37:19:476,resultant_acc:1.0
 CDTJune/24/2021 12:37:19:607,xyz_acc:-0.013 0.003 -0.999
 CDTJune/24/2021 12:37:20:626,resultant_acc:0.999
 CDTJune/24/2021 12:37:20:630,xyz_acc:-0.016 -0.012 -0.992
 CDTJune/24/2021 12:37:20:631,resultant_acc:0.992
 CDTJune/24/2021 12:37:20:799,xyz_acc:-0.135 0.028 -0.979
 CDTJune/24/2021 12:37:20:803,resultant_acc:0.989
 CDTJune/24/2021 12:37:20:847,xyz_acc:-0.049 -0.001 -1.001
 CDTJune/24/2021 12:37:20:879,resultant_acc:1.002
 CDTJune/24/2021 12:37:20:40,xyz_acc:-0.002 -0.014 -0.998
 CDTJune/24/2021 12:37:20:41,resultant_acc:0.998
 CDTJune/24/2021 12:37:20:42,xyz_acc:-0.012 -0.041 -0.987
 CDTJune/24/2021 12:37:20:63,resultant_acc:0.988
 CDTJune/24/2021 12:37:20:180,xyz_acc:-0.017 -0.023 -0.995
 CDTJune/24/2021 12:37:20:182,resultant_acc:0.995
 CDTJune/24/2021 12:37:20:261,xyz_acc:-0.038 -0.006 -1.017
 CDTJune/24/2021 12:37:20:262,resultant_acc:1.018
 CDTJune/24/2021 12:37:20:341,xyz_acc:0.015 0.014 -1.016
 CDTJune/24/2021 12:37:20:342,resultant_acc:1.016
 CDTJune/24/2021 12:37:20:459,xyz_acc:-0.007 -0.015 -0.994
 CDTJune/24/2021 12:37:20:461,resultant_acc:0.994
 CDTJune/24/2021 12:37:20:571,xyz_acc:-0.013 0.002 -1.003
 CDTJune/24/2021 12:37:21:638,resultant_acc:1.003
 CDTJune/24/2021 12:37:21:709,xyz_acc:-0.056 -0.043 -0.994
 CDTJune/24/2021 12:37:21:710,resultant_acc:0.997
 CDTJune/24/2021 12:37:21:747,xyz_acc:-0.015 -0.016 -0.994
 CDTJune/24/2021 12:37:21:748,resultant_acc:0.994
 CDTJune/24/2021 12:37:21:936,xyz_acc:-0.017 -0.006 -1.001
 CDTJune/24/2021 12:37:21:937,resultant_acc:1.001
 CDTJune/24/2021 12:37:21:964,xyz_acc:-0.024 -0.009 -1.003
 CDTJune/24/2021 12:37:21:965,resultant_acc:1.003
 CDTJune/24/2021 12:37:21:63,xyz_acc:-0.022 -0.005 -1.0
 CDTJune/24/2021 12:37:21:64,resultant_acc:1.0
 CDTJune/24/2021 12:37:21:198,xyz_acc:-0.017 -0.011 -0.997
 CDTJune/24/2021 12:37:21:200,resultant_acc:0.997
 CDTJune/24/2021 12:37:21:232,xyz_acc:-0.018 -0.012 -0.999
 CDTJune/24/2021 12:37:21:270,resultant_acc:0.999
 CDTJune/24/2021 12:37:21:352,xyz_acc:-0.014 -0.007 -1.0
 CDTJune/24/2021 12:37:21:356,resultant_acc:1.0
 CDTJune/24/2021 12:37:21:501,xyz_acc:-0.014 -0.013 -0.994
 CDTJune/24/2021 12:37:21:502,resultant_acc:0.994
 CDTJune/24/2021 12:37:21:535,xyz_acc:-0.034 -0.011 -0.994
