CDTJune/15/2021 12:40:20:961,sleep:5852.0
 CDTJune/15/2021 12:40:20:100,blood_o2:94.0
 CDTJune/15/2021 12:40:20:103,noise:60
 CDTJune/15/2021 12:40:21:436,location:29.585556,-98.619497
 CDTJune/15/2021 12:40:21:437,heart_rate:75.0
 CDTJune/15/2021 12:40:32:479,location:29.585556,-98.619497
 CDTJune/15/2021 12:40:32:481,heart_rate:88.0
 CDTJune/15/2021 12:40:37:511,location:29.585556,-98.619497
 CDTJune/15/2021 12:40:37:513,heart_rate:73.0
 CDTJune/15/2021 12:40:52:479,xyz_acc:0.05 -0.092 -1.029
 CDTJune/15/2021 12:40:52:610,resultant_acc:1.034
 CDTJune/15/2021 12:40:52:634,xyz_acc:0.05 -0.092 -1.029
 CDTJune/15/2021 12:40:52:635,resultant_acc:1.034
 CDTJune/15/2021 12:40:52:658,xyz_acc:0.092 -0.075 -0.989
 CDTJune/15/2021 12:40:52:711,resultant_acc:0.996
 CDTJune/15/2021 12:40:52:728,xyz_acc:0.097 -0.057 -0.999
 CDTJune/15/2021 12:40:52:730,resultant_acc:1.005
 CDTJune/15/2021 12:40:52:731,xyz_acc:0.087 -0.095 -0.989
 CDTJune/15/2021 12:40:52:732,resultant_acc:0.997
 CDTJune/15/2021 12:40:52:732,xyz_acc:0.091 -0.068 -0.994
 CDTJune/15/2021 12:40:52:997,resultant_acc:1.0
 CDTJune/15/2021 12:40:53:212,xyz_acc:0.085 -0.065 -0.986
 CDTJune/15/2021 12:40:53:215,resultant_acc:0.992
 CDTJune/15/2021 12:40:53:216,xyz_acc:0.091 -0.072 -0.981
 CDTJune/15/2021 12:40:53:235,resultant_acc:0.988
 CDTJune/15/2021 12:40:53:253,xyz_acc:0.082 -0.071 -0.995
 CDTJune/15/2021 12:40:53:257,resultant_acc:1.001
 CDTJune/15/2021 12:40:53:262,xyz_acc:0.08 -0.07 -0.995
 CDTJune/15/2021 12:40:53:266,resultant_acc:1.001
 CDTJune/15/2021 12:40:53:312,xyz_acc:0.082 -0.05 -0.999
 CDTJune/15/2021 12:40:53:356,resultant_acc:1.004
 CDTJune/15/2021 12:40:53:358,xyz_acc:0.1 -0.056 -0.991
 CDTJune/15/2021 12:40:53:359,resultant_acc:0.998
 CDTJune/15/2021 12:40:53:369,xyz_acc:0.082 -0.042 -1.004
 CDTJune/15/2021 12:40:53:375,resultant_acc:1.008
 CDTJune/15/2021 12:40:53:510,xyz_acc:0.087 -0.063 -0.995
 CDTJune/15/2021 12:40:53:521,resultant_acc:1.001
 CDTJune/15/2021 12:40:53:544,xyz_acc:0.09 -0.065 -0.997
 CDTJune/15/2021 12:40:53:560,resultant_acc:1.003
 CDTJune/15/2021 12:40:53:653,xyz_acc:0.083 -0.053 -0.997
 CDTJune/15/2021 12:40:53:669,resultant_acc:1.002
 CDTJune/15/2021 12:40:53:752,xyz_acc:0.081 -0.07 -0.983
 CDTJune/15/2021 12:40:53:769,resultant_acc:0.989
 CDTJune/15/2021 12:40:53:857,xyz_acc:0.08 -0.07 -0.991
 CDTJune/15/2021 12:40:53:883,resultant_acc:0.997
 CDTJune/15/2021 12:40:53:962,xyz_acc:0.086 -0.082 -0.99
 CDTJune/15/2021 12:40:53:976,resultant_acc:0.997
 CDTJune/15/2021 12:40:53:74,xyz_acc:0.048 -0.082 -0.977
 CDTJune/15/2021 12:40:54:133,resultant_acc:0.982
 CDTJune/15/2021 12:40:54:159,xyz_acc:0.077 -0.056 -0.994
 CDTJune/15/2021 12:40:54:173,resultant_acc:0.999
 CDTJune/15/2021 12:40:54:239,xyz_acc:0.081 -0.068 -0.993
 CDTJune/15/2021 12:40:54:255,resultant_acc:0.999
 CDTJune/15/2021 12:40:54:397,xyz_acc:0.076 -0.063 -0.993
 CDTJune/15/2021 12:40:54:432,resultant_acc:0.998
 CDTJune/15/2021 12:40:54:443,xyz_acc:0.075 -0.061 -0.988
 CDTJune/15/2021 12:40:54:459,resultant_acc:0.993
 CDTJune/15/2021 12:40:54:543,xyz_acc:0.09 -0.061 -0.994
 CDTJune/15/2021 12:40:54:557,resultant_acc:1.0
 CDTJune/15/2021 12:40:54:695,xyz_acc:0.084 -0.062 -0.992
 CDTJune/15/2021 12:40:54:736,resultant_acc:0.997
 CDTJune/15/2021 12:40:54:759,xyz_acc:0.077 -0.069 -0.987
 CDTJune/15/2021 12:40:54:760,resultant_acc:0.992
 CDTJune/15/2021 12:40:54:859,xyz_acc:0.083 -0.065 -0.994
 CDTJune/15/2021 12:40:54:905,resultant_acc:1.0
 CDTJune/15/2021 12:40:54:982,xyz_acc:0.084 -0.057 -0.994
 CDTJune/15/2021 12:40:54:999,resultant_acc:0.999
 CDTJune/15/2021 12:40:54:55,xyz_acc:0.084 -0.063 -0.984
 CDTJune/15/2021 12:40:54:57,resultant_acc:0.99
 CDTJune/15/2021 12:40:55:157,xyz_acc:0.085 -0.067 -0.982
 CDTJune/15/2021 12:40:55:171,resultant_acc:0.988
 CDTJune/15/2021 12:40:55:269,xyz_acc:0.077 -0.065 -0.997
 CDTJune/15/2021 12:40:55:350,resultant_acc:1.002
 CDTJune/15/2021 12:40:55:375,xyz_acc:0.081 -0.06 -0.982
 CDTJune/15/2021 12:40:55:376,resultant_acc:0.987
 CDTJune/15/2021 12:40:55:444,xyz_acc:0.071 -0.082 -0.996
 CDTJune/15/2021 12:40:55:456,resultant_acc:1.002
 CDTJune/15/2021 12:40:55:568,xyz_acc:0.057 -0.07 -0.986
 CDTJune/15/2021 12:40:55:654,resultant_acc:0.99
 CDTJune/15/2021 12:40:55:671,xyz_acc:0.081 -0.05 -0.993
 CDTJune/15/2021 12:40:55:672,resultant_acc:0.998
 CDTJune/15/2021 12:40:55:757,xyz_acc:0.075 -0.056 -0.993
 CDTJune/15/2021 12:40:55:784,resultant_acc:0.997
 CDTJune/15/2021 12:40:55:904,xyz_acc:0.06 -0.056 -0.988
 CDTJune/15/2021 12:40:55:910,resultant_acc:0.991
 CDTJune/15/2021 12:40:55:960,xyz_acc:0.086 -0.062 -0.991
 CDTJune/15/2021 12:40:55:988,resultant_acc:0.997
 CDTJune/15/2021 12:40:55:80,xyz_acc:0.068 -0.039 -1.002
 CDTJune/15/2021 12:40:55:84,resultant_acc:1.005
 CDTJune/15/2021 12:40:56:172,xyz_acc:0.072 -0.077 -0.988
 CDTJune/15/2021 12:40:56:205,resultant_acc:0.994
 CDTJune/15/2021 12:40:56:271,xyz_acc:0.068 -0.07 -0.996
 CDTJune/15/2021 12:40:56:276,resultant_acc:1.001
 CDTJune/15/2021 12:40:56:354,xyz_acc:0.075 -0.078 -0.991
 CDTJune/15/2021 12:40:56:372,resultant_acc:0.997
 CDTJune/15/2021 12:40:56:461,xyz_acc:0.046 -0.085 -0.985
 CDTJune/15/2021 12:40:56:507,resultant_acc:0.99
 CDTJune/15/2021 12:40:56:552,xyz_acc:0.05 -0.111 -0.998
 CDTJune/15/2021 12:40:56:571,resultant_acc:1.005
 CDTJune/15/2021 12:40:56:649,xyz_acc:0.076 -0.046 -1.004
 CDTJune/15/2021 12:40:56:662,resultant_acc:1.008
 CDTJune/15/2021 12:40:56:749,xyz_acc:0.066 -0.043 -1.014
 CDTJune/15/2021 12:40:56:784,resultant_acc:1.017
 CDTJune/15/2021 12:40:56:875,xyz_acc:0.049 -0.055 -0.985
 CDTJune/15/2021 12:40:56:890,resultant_acc:0.988
 CDTJune/15/2021 12:40:56:962,xyz_acc:0.079 -0.054 -0.995
 CDTJune/15/2021 12:40:56:983,resultant_acc:1.0
 CDTJune/15/2021 12:40:56:84,xyz_acc:0.066 -0.057 -1.003
 CDTJune/15/2021 12:40:56:112,resultant_acc:1.007
 CDTJune/15/2021 12:40:57:161,xyz_acc:0.04 -0.003 -0.975
 CDTJune/15/2021 12:40:57:172,resultant_acc:0.976
 CDTJune/15/2021 12:40:57:258,xyz_acc:0.077 -0.037 -0.985
 CDTJune/15/2021 12:40:57:299,resultant_acc:0.989
 CDTJune/15/2021 12:40:57:399,xyz_acc:0.087 -0.03 -0.987
 CDTJune/15/2021 12:40:57:424,resultant_acc:0.991
 CDTJune/15/2021 12:40:57:486,xyz_acc:0.089 -0.036 -0.985
 CDTJune/15/2021 12:40:57:501,resultant_acc:0.99
 CDTJune/15/2021 12:40:57:529,xyz_acc:0.094 -0.027 -0.997
 CDTJune/15/2021 12:40:57:607,resultant_acc:1.002
 CDTJune/15/2021 12:40:57:662,xyz_acc:0.086 -0.022 -0.998
 CDTJune/15/2021 12:40:57:664,resultant_acc:1.002
