CDTJune/15/2021 12:53:55:12,sleep:5852.0
 CDTJune/15/2021 12:53:56:256,noise:60
 CDTJune/15/2021 12:53:56:260,blood_o2:94.0
 CDTJune/15/2021 12:53:56:280,location:29.585571 -98.619609
 CDTJune/15/2021 12:53:56:281,heart_rate:70.0
 CDTJune/15/2021 12:54:07:578,location:29.585571 -98.619609
 CDTJune/15/2021 12:54:07:580,heart_rate:72.0
 CDTJune/15/2021 12:54:18:116,xyz_acc:-0.047 -0.14 -1.2
 CDTJune/15/2021 12:54:18:131,resultant_acc:1.209
 CDTJune/15/2021 12:54:18:141,xyz_acc:-0.03 -0.028 -0.993
 CDTJune/15/2021 12:54:18:148,resultant_acc:0.994
 CDTJune/15/2021 12:54:18:150,xyz_acc:0.015 -0.016 -1.008
 CDTJune/15/2021 12:54:18:151,resultant_acc:1.008
 CDTJune/15/2021 12:54:18:152,xyz_acc:-0.001 -0.026 -0.995
 CDTJune/15/2021 12:54:18:152,resultant_acc:0.995
 CDTJune/15/2021 12:54:19:188,xyz_acc:0.002 -0.026 -0.998
 CDTJune/15/2021 12:54:19:189,resultant_acc:0.998
 CDTJune/15/2021 12:54:19:226,xyz_acc:-0.0 -0.013 -0.993
 CDTJune/15/2021 12:54:19:238,resultant_acc:0.993
 CDTJune/15/2021 12:54:19:275,xyz_acc:0.01 -0.022 -1.0
 CDTJune/15/2021 12:54:19:283,resultant_acc:1.0
 CDTJune/15/2021 12:54:19:393,xyz_acc:0.003 -0.024 -0.995
 CDTJune/15/2021 12:54:19:411,resultant_acc:0.995
 CDTJune/15/2021 12:54:19:486,xyz_acc:-0.002 -0.012 -0.995
 CDTJune/15/2021 12:54:19:498,resultant_acc:0.995
 CDTJune/15/2021 12:54:19:600,xyz_acc:0.005 -0.011 -0.996
 CDTJune/15/2021 12:54:19:617,resultant_acc:0.996
 CDTJune/15/2021 12:54:19:698,xyz_acc:0.007 -0.014 -0.997
 CDTJune/15/2021 12:54:19:711,resultant_acc:0.997
 CDTJune/15/2021 12:54:19:809,xyz_acc:-0.001 -0.018 -1.007
 CDTJune/15/2021 12:54:19:823,resultant_acc:1.007
 CDTJune/15/2021 12:54:19:914,xyz_acc:-0.017 -0.017 -1.003
 CDTJune/15/2021 12:54:19:932,resultant_acc:1.003
 CDTJune/15/2021 12:54:19:19,xyz_acc:0.009 0.008 -1.004
 CDTJune/15/2021 12:54:19:32,resultant_acc:1.004
 CDTJune/15/2021 12:54:19:94,xyz_acc:0.009 -0.006 -0.996
 CDTJune/15/2021 12:54:19:113,resultant_acc:0.996
 CDTJune/15/2021 12:54:20:200,xyz_acc:0.002 -0.046 -0.984
 CDTJune/15/2021 12:54:20:213,resultant_acc:0.985
 CDTJune/15/2021 12:54:20:296,xyz_acc:-0.005 -0.055 -0.987
 CDTJune/15/2021 12:54:20:309,resultant_acc:0.989
 CDTJune/15/2021 12:54:20:409,xyz_acc:0.006 0.014 -1.004
 CDTJune/15/2021 12:54:20:422,resultant_acc:1.004
 CDTJune/15/2021 12:54:20:516,xyz_acc:-0.024 0.001 -1.016
 CDTJune/15/2021 12:54:20:530,resultant_acc:1.016
 CDTJune/15/2021 12:54:20:599,xyz_acc:0.001 0.048 -0.992
 CDTJune/15/2021 12:54:20:610,resultant_acc:0.993
 CDTJune/15/2021 12:54:20:702,xyz_acc:-0.004 -0.013 -1.001
 CDTJune/15/2021 12:54:20:717,resultant_acc:1.001
 CDTJune/15/2021 12:54:20:815,xyz_acc:0.014 0.001 -1.0
 CDTJune/15/2021 12:54:20:832,resultant_acc:1.0
 CDTJune/15/2021 12:54:20:910,xyz_acc:-0.01 0.012 -0.998
 CDTJune/15/2021 12:54:20:919,resultant_acc:0.998
 CDTJune/15/2021 12:54:20:3,xyz_acc:0.007 -0.029 -0.992
 CDTJune/15/2021 12:54:20:17,resultant_acc:0.992
 CDTJune/15/2021 12:54:20:111,xyz_acc:-0.004 -0.011 -1.0
 CDTJune/15/2021 12:54:20:123,resultant_acc:1.0
 CDTJune/15/2021 12:54:21:201,xyz_acc:-0.011 -0.017 -0.997
 CDTJune/15/2021 12:54:21:220,resultant_acc:0.997
 CDTJune/15/2021 12:54:21:287,xyz_acc:-0.0 -0.044 -0.993
 CDTJune/15/2021 12:54:21:301,resultant_acc:0.994
 CDTJune/15/2021 12:54:21:388,xyz_acc:-0.006 -0.021 -0.999
 CDTJune/15/2021 12:54:21:406,resultant_acc:0.999
 CDTJune/15/2021 12:54:21:497,xyz_acc:-0.009 -0.024 -0.987
 CDTJune/15/2021 12:54:21:512,resultant_acc:0.987
 CDTJune/15/2021 12:54:21:596,xyz_acc:0.001 -0.011 -0.999
 CDTJune/15/2021 12:54:21:610,resultant_acc:0.999
 CDTJune/15/2021 12:54:21:708,xyz_acc:0.058 0.546 -1.177
 CDTJune/15/2021 12:54:21:774,resultant_acc:1.299
 CDTJune/15/2021 12:54:21:812,xyz_acc:0.032 0.171 -0.922
